Kataloški broj;Barcode;Naziv robe;VPC;MPC
10-0095;5902301000954;KOMPRESOR KLIME MERCEDES W202/W210=32053;388,27;454
10-0099;5902301000992;KOMPRESOR KLIME OPEL SIGNUM 2.0 TURBO Z20NET 05.03 -=32269;431,26;505
10-0102;5902301001029;KOMPRESOR KLIME CITROEN XSARA PICASSO 1.6I NFZ 06.00 - 11.01=322;375,00;439
10-0115;5902301001159;KOMPRESOR KLIME VW LT T4 2,5TDI 96.-=32168;360,21;421
10-0124;5902301001241;KOMPRESOR KLIME FORD FIESTA 1.4I 16V FXJA 11.01 -=32199;318,72;373
10-0132;5902301001326;KOMPRESOR KLIME ŠKODA FABIA VW POLO 2001.-;391,89;459
10-0133;5902301001333;KOMPRESOR KLIME BMW 3-SERIE E46  316I M43B18 09.98 - 02.05=32414;450,01;527
10-0135;5902301001357;KOMPRESOR KLIME BMW 3 E36 90.-=32122;382,54;448
10-0137;5902301001371;KOMPRESOR KLIME BMW 1 E87 03.-13.=32532;532,37;623
10-0138;5902301001388;KOMPRESOR KLIME BMW 3-SERIE E46  318D M47204D4 03.03 - 02.05=324;487,50;570
10-0139;5902301001395;KOMPRESOR KLIME VW TOUAREG T5 2,5TDI 2003.-=32148;420,00;491
10-0141;5902301001418;KOMPRESOR KLIME VOLVO S80 II 06.-=32812;469,57;549
10-0143;5902301001432;KOMPRESOR KLIME AUDI A4 2000.- 4PK;310,00;363
10-0146;5902301001463;KOMPRESOR KLIME AUDI A4/A6 VW PASSAT 2,5TDI V6 97.-=32167;392,76;460
10-0151;5902301001517;KOMPRESOR KLIME OPEL AGILA 1.0 12V Z10XE 09.00 -=32197;375,00;439
10-0154;5902301001548;KOMPRESOR KLIME PEUGEOT 307 1.4 HDI 8FX 07.02 - 09.03=32217G;375,00;439
10-0156;5902301001562;KOMPRESOR KLIME SMART CITY - COUPE 0.6 40KW 07.98 - 01.04=32957;450,01;527
10-0159;5902301001593;KOMPRESOR KLIME OPEL OMEGA 2.0I 20SE 03.94 - 12.00=32025;318,72;373
10-0168;5902301001685;KOMPRESOR KLIME AUDI A8 4.2 QUATTRO ABZ 03.94 -=51-0064;562,51;658
10-0176;5902301001760;KOMPRESOR KLIME FORD MONDEO III 00.-=32734;414,85;485
10-0182;5902301001821;KOMPRESOR KLIME ROVER 45 1.4I 16V 14K4F 02.00 -=51-0193;375,00;439
10-0183;5902301001838;KOMPRESOR KLIME VW POLO 94.-=32228;354,68;415
10-0185;5902301001852;KOMPRESOR KLIME AUDI A4 2,5TDI 2000.-=32105;452,52;529
10-0186;5902301001869;KOMPRESOR KLIME MERCEDES C-CLASS W203  180 111951 10.00 -=32214;412,50;483
10-0191;5902301001913;KOMPRESOR KLIME VOLVO  2.0 T B5204T 01.99 - 10.05=32112;393,78;461
10-0192;5902301001920;KOMPRESOR KLIME MERCEDES S-CLASS W220 300SE M104.944 01.93 - 10.;643,86;753
10-0201;5902301002019;KOMPRESOR KLIME VOLVO 850 2.0 B5204F 09.91 - 12.96=32108;393,78;461
10-0203;5902301002033;KOMPRESOR KLIME BMW 3 E36 90.-99.=32055;394,24;461
10-0212;5902301002125;KOMPRESOR KLIME ALFA ROMEO 159 05.-=32499G;450,01;527
10-0214;5902301002149;KOMPRESOR KLIME SAAB 900 2.0I B204I 08.94 - 02.98=51-0013;450,01;527
10-0218;5902301002187;KOMPRESOR KLIME VW VENTO 1.9 TDI 1Z 09.93 - 09.98=32728;337,52;395
10-0225;5902301002255;KOMPRESOR KLIME FORD KA 08.-=32183;367,08;429
10-0261;5902301002613;KOMPRESOR KLIME ALFA ROMEO 159 2.4 JTDM 939A3.000 09.05 -=32668G;487,50;570
10-0264;5902301002644;KOMPRESOR KLIME NISSAN PRIMERA 2.2 DCI 102KW YD22DDT 04.03 -=326;431,26;505
10-0266;5902301002668;KOMPRESOR KLIME HYUNDAI ACCENT II 00.-=32445;427,47;500
10-0267;5902301002675;KOMPRESOR KLIME DAEWOO MATIZ 0.8I F8CV 09.98 -=32143G;431,26;505
10-0278;5902301002781;KOMPRESOR KLIME TOYOTA YARIS 99.-=32466;418,27;489
10-0282;5902301002828;KOMPRESOR KLIME VW TRANSPORTER BUS 1.9 D 1X 09.90 - 10.96=32489;393,78;461
10-0295;5902301002958;KOMPRESOR KLIME BMW 3-SERIE E46  316I N42B18 02.02 - 02.05=32184;450,01;527
10-0296;5902301002965;KOMPRESOR KLIME VOLVO S60 2,4 B5244S2 11.00 - 12.01=32109;375,00;439
10-0318;5902301003184;KOMPRESOR KLIME VOLVO S60 2.4 D D5244T2 12.01 -=32737;426,72;499
10-0334;5902301003344;KOMPRESOR KLIME FORD FIESTA 1.4 TCDI F6JA 11.01 -=32260G;393,78;461
10-0370;5902301003702;KOMPRESOR KLIME HYUNDAI SANTA FE 2.4I 16V 100KW G4JS-G 02.01 -=3;431,26;505
10-0385;5902301003856;KOMPRESOR KLIME TOYOTA COROLLA 97.-02.=32623;453,24;530
10-0398;5902301003986;KOMPRESOR KLIME FIAT 500 1.3 D MULTI JET 55KW 07.07 -=32466;375,00;439
10-0400;5902301004006;KOMPRESOR KLIME CITROEN C5 01.-=32270;398,81;467
10-0402;5902301004020;KOMPRESOR KLIME RENO MEGANE 1.9 DCI  11.02 -=32424;412,50;483
10-0403;5902301004037;KOMPRESOR KLIME RENO CLIO MEGANE 1,5DCI 2003.-=32208;396,65;464
10-0408;5902301004082;KOMPRESOR KLIME CHRYSLER VOYAGER   EGA 02.00 -=32203G;506,27;592
10-0410;5902301004105;KOMPRESOR KLIME TOYOTA COROLLA 1.8I 16V VVT-I 1ZZ-FE 10.00 - 02.;426,11;499
10-0414;5902301004143;KOMPRESOR KLIME TOYOTA YARIS 1.5 16V VVT-I 1NZ-FE 04.03 -=51-052;506,27;592
10-0423;5902301004235;KOMPRESOR KLIME FIAT MAREA 2.4 JTD 185A6.000 04.99 -=32501;450,01;527
10-0440;5902301004402;KOMPRESOR KLIME LAND ROVER FREELANDER 2.0 TD4 80KW M47 11.00 -=5;450,01;527
10-0447;5902301004471;KOMPRESOR KLIME JEEP WRANGLER 96.-=320165;412,03;482
10-0450;5902301004501;KOMPRESOR KLIME PEŽO 206/307 1,4/1,6HDI=32227;359,88;421
10-0458;5902301004587;KOMPRESOR KLIME NISSAN ALMERA 1.5I 66KW QG15DE 03.00 -=32690G;450,01;527
10-0465;5902301004655;KOMPRESOR KLIME NISSAN MICRA 44958 CR12DE 01.03 -=32461G;543,76;636
10-0476;5902301004761;KOMPRESOR KLIME RENO MEGANE SCENIC 1.6I 16V K4M 06.98 - 10.02=32;358,85;420
10-0490;5902301004907;KOMPRESOR KLIME CHRYSLER PT CRUISER 00.-=320023;452,62;530
10-0491;5902301004914;KOMPRESOR KLIME TOYOTA LAND CRUISER 3.0 TD 1KZTE 04.96 -=51-0186;524,99;614
10-0493;5902301004938;KOMPRESOR KLIME TOYOTA LAND CRUISER 97.-=51-0129;593,56;694
10-0498;5902301004983;KOMPRESOR KLIME MINI R50 01.-=32521;400,77;469
10-0504;5902301005041;KOMPRESOR KLIME ROVER  MG 1.8I  10.95 -=51-0232;675,02;790
10-0507;5902301005072;KOMPRESOR KLIME IVECO DAILY 2.8 TD 8140 05.99 -=32551G;637,49;746
10-0534;5902301005348;KOMPRESOR KLIME OPEL VECTRA 2.2I 16V Z22SE 04.02 -=32313;393,78;461
10-0536;5902301005362;KOMPRESOR KLIME MERCEDES W203/W211 MB112/MB113;299,00;350
10-0537;5902301005379;KOMPRESOR KLIME MERCEDES CLK 02.-=32215;438,03;512
10-0545;5902301005454;KOMPRESOR KLIME OPEL OMEGA  C30NE 01.88 - 03.94=51-0333;356,25;417
10-0551;5902301005515;KOMPRESOR KLIME ALFA ROMEO 147 1.9 JTD 937A.2000 01.01 -=32542G;412,50;483
10-0554;5902301005546;KOMPRESOR KLIME LAND ROVER DEFENDER 2.5 TDI 10P 06.98 -=32390;487,50;570
10-0557;5902301005577;KOMPRESOR KLIME OPEL ASTRA G 98.-=32426;392,33;459
10-0564;5902301005645;KOMPRESOR KLIME TOYOTA COROLLA VERSO 2.2 D-4D 2AD-FHV 01.05 -=32;426,72;499
10-0567;5902301005676;KOMPRESOR KLIME MAZDA 5 02.-=32457G;525,52;615
10-0582;5902301005829;KOMPRESOR KLIME PEUGEOT 406    10.96 - 05.97=32186;434,49;508
10-0583;5902301005836;KOMPRESOR KLIME VW LT T4 2,5TDI 96.-=32168;360,21;421
10-0589;5902301005898;KOMPRESOR KLIME FIAT CROMA 1.9 D MULTI JET 939A1.000 06.05 -=321;387,93;454
10-0593;5902301005935;KOMPRESOR KLIME FIAT CROMA 1.8 16V 4136ACM 12.05 -=32312;431,26;505
10-0605;5902301006055;KOMPRESOR KLIME TOYOTA HIACE 2.5 D-4D 2KD-FTV 11.01 -=51-0879;618,76;724
10-0606;5902301006062;KOMPRESOR KLIME TOYOTA COROLLA VERSO 2.0 D-4D 1CD-FTV 04.04 -=32;556,77;651
10-0608;5902301006086;KOMPRESOR KLIME AUDI A4 2003.- A6 2,7/3,0TDI 2004.- 6PK=32263;437,70;512
10-0609;5902301006093;KOMPRESOR KLIME MERCEDES A-CLASS W169  A150 70KW 09.04 -=32583;524,99;614
10-0613;5902301006130;KOMPRESOR KLIME RENO CLIO 1.5 DCI K9K 01.03 -=32744;431,26;505
10-0616;5902301006161;KOMPRESOR KLIME CITROEN C4 1.6 HDI 110 9HY 11.04 -=32240;431,26;505
10-0619;5902301006192;KOMPRESOR KLIME VOLVO C30 06.-=32430;419,28;491
10-0621;5902301006215;KOMPRESOR KLIME FORD FIESTA    02.05 -=320149;431,26;505
10-0635;5902301006352;KOMPRESOR KLIME JEEP GRAND CHEROKEE 2.7 CRD 120KW 01.01 - 12.04=;581,25;680
10-0636;5902301006369;KOMPRESOR KLIME SMART FORFOUR 04.-=32573G;544,45;637
10-0642;5902301006420;KOMPRESOR KLIME MAZDA 3 03.- 1,3/1,6=32233;472,02;552
10-0646;5902301006468;KOMPRESOR KLIME JEEP CHEROKEE 2.5 TD  09.91 - 04.99=51-0467;450,01;527
10-0647;5902301006475;KOMPRESOR KLIME CHRYSLER PT-CRUISER 2,2CRD 00.-10.=320023;452,62;530
10-0655;5902301006550;KOMPRESOR KLIME OPEL ASTRA H 1,7CDTI 2004.-=32428;410,54;480
10-0656;5902301006567;KOMPRESOR KLIME OPEL ASTRA H 1,9CDTI 2004.-=32427;416,86;488
10-0657;5902301006574;KOMPRESOR KLIME OPEL ASTRA H 1,7CDTI 2004.-=32428;425,20;497
10-0658;5902301006581;KOMPRESOR KLIME OPEL ASTRA H 04.-=32429;422,27;494
10-0659;5902301006598;KOMPRESOR KLIME OPEL ASTRA H 1,3CDTI 05.-=32480;428,86;502
10-0660;5902301006604;KOMPRESOR KLIME HYUNDAI TUCSON 04.-=32473G;465,29;544
10-0661;5902301006611;KOMPRESOR KLIME KIA SORENTO 2.5 CRDI D4CB 08.02 -=51-0231;562,51;658
10-0663;5902301006635;KOMPRESOR KLIME BMW E60 2,5/3,0D 2003.-=32433;420,87;492
10-0664;5902301006642;KOMPRESOR KLIME BMW 3-SERIE E90  325D M57 09.05 -=32528;543,12;635
10-0667;5902301006673;KOMPRESOR KLIME HONDA CR-V 05.-=32894G;618,76;724
10-0669;5902301006697;KOMPRESOR KLIME SUZUKI LIANA 1.3I 66KW 07.01 -=32857G;530,24;620
10-0671;5902301006710;KOMPRESOR KLIME MERCEDES W169/W245=32584;479,14;561
10-0673;5902301006734;KOMPRESOR KLIME BMW 3 E90 04.-=32463;486,56;569
10-0674;5902301006741;KOMPRESOR KLIME NISSAN PATROL 3.0 DTI ZD30DDTI 05.00 -=51-0385;506,27;592
10-0687;5902301006871;KOMPRESOR KLIME NISSAN TERRANO 2.4I 98KW 03.02 -=51-0484;506,27;592
10-0708;5902301007083;KOMPRESOR KLIME VOLVO S40 45139 B4184S8 04.04 -=32405;506,27;592
10-0709;5902301007090;KOMPRESOR KLIME FORD FOCUS 1.4I ASDA 11.04 -=32415;506,27;592
10-0710;5902301007106;KOMPRESOR KLIME FORD C-MAC FOCUS 2,0TDCI 2004.-=32250;461,94;540
10-0711;5902301007113;KOMPRESOR KLIME TOYOTA AVENSIS 06.-=32645;581,99;681
10-0712;5902301007120;KOMPRESOR KLIME OPEL ASTRA G MERIVA 2003.-=32082;389,11;455
10-0713;5902301007137;KOMPRESOR KLIME VIVARO TRAFIC 1,9/2,5CDTI 2000.-=32481;371,04;434
10-0721;5902301007212;KOMPRESOR KLIME SUZUKI SX4 06.-=32939;447,99;524
10-0725;5902301007250;KOMPRESOR KLIME VW GOLF V PASSAT 2003.-;312,00;365
10-0764;5902301007649;KOMPRESOR KLIME TOYOTA RAV-4 2.0 VVT-I 1AZ-FE 01.00 - 12.04=3263;430,81;504
10-0768;5902301007687;KOMPRESOR KLIME SUBARU IMPREZA 2.0I EJ20G 01.99 -=51-0290;543,76;636
10-0771;5902301007717;KOMPRESOR KLIME AUDI A8 4.2 QUATTRO BFM 10.02 -=32777;450,01;527
10-0780;5902301007809;KOMPRESOR KLIME AUDI A6 S6 4.2 QUATTRO AQJ 12.02 - 01.05=32516;618,76;724
10-0781;5902301007816;KOMPRESOR KLIME MITSUBISHI SPACE STAR 1.3 16V 4G13 01.98 -=51-04;468,76;548
10-0791;5902301007915;KOMPRESOR KLIME BMW 3 E90 04.- 318D/320D=32522;548,11;641
10-0792;5902301007922;KOMPRESOR KLIME JUMPER/BOXER/DUCATO 06.-=32701;396,88;464
10-0795;5902301007953;KOMPRESOR KLIME MERCEDES W114/W115  M110.985 08.72 - 07.80=51-03;643,86;753
10-0798;5902301007984;KOMPRESOR KLIME PORSCHE CAYENNE 3.2 V6  01.03 -=51-0759;618,76;724
10-0803;5902301008035;KOMPRESOR KLIME BMW X5 E53 3,0D 2003.-=32465;430,98;504
10-0804;5902301008042;KOMPRESOR KLIME BMW E46/E39 3,0D=32123;415,45;486
10-0806;5902301008066;KOMPRESOR KLIME CITROEN C5 1.6 HDI 9HY 09.04 -=32239;450,01;527
10-0814;5902301008141;KOMPRESOR KLIME HYUNDAI GETZ 1.5 CRDI D3-EA 03.03 -=320026;393,78;461
10-0822;5902301008226;KOMPRESOR KLIME NISSAN QASHQAI 07.-=32784G;562,51;658
10-0827;5902301008271;KOMPRESOR KLIME FORD C-MAC FOCUS 1,8TDCI 2004.-=32722;427,29;500
10-0828;5902301008288;KOMPRESOR KLIME PEUGEOT 307 1.4 HDI 8FX 10.03 -=51-0315;393,78;461
10-0834;5902301008349;KOMPRESOR KLIME OPEL ASTRA H 1,9CDTI 2004.-=32427;416,86;488
10-0835;5902301008356;KOMPRESOR KLIME FIAT GRANDE PUNTO 1.9 D MULTI JET 199A5.000 10.0;506,88;593
10-0836;5902301008363;KOMPRESOR KLIME FORD C-MAC FOCUS 1,6TDCI 2004.-=32271;402,93;471
10-0839;5902301008394;KOMPRESOR KLIME TOYOTA HILUX 2.5 D-4D 2KD-FTV 07.05 -=32858G;618,76;724
10-0850;5902301008509;KOMPRESOR KLIME CHEVROLET LACETTI 1.8I F18D3 01.05 -=51-0526;431,26;505
10-0869;5902301008691;KOMPRESOR KLIME AUDI A6 45018 BDW 01.05 -=32512;470,69;551
10-0883;5902301008837;KOMPRESOR KLIME FORD GALAXY 2.0 NSE 01.02 -=32254G;506,27;592
10-0884;5902301008844;KOMPRESOR KLIME SUZUKI GRAND VITARA 1,9DDIS 05.-=32776G;656,24;768
10-0885;5902301008851;KOMPRESOR KLIME MERCEDES W211 280/320CDI 8PK=32216;462,75;541
10-0887;5902301008875;KOMPRESOR KLIME ŠKODA SUPERB 15.- 10-0725/32146;443,00;518
10-0891;5902301008912;KOMPRESOR KLIME FORD TRANSIT 2,2TDCI 2006.-=32411;477,92;559
10-0895;5902301008950;KOMPRESOR KLIME MERCEDES 280/320CDI OM642 7PK=32579;455,00;532
10-0903;5902301009032;KOMPRESOR KLIME HYUNDAI TERRACAN 01.-=32904G;581,91;681
10-0904;5902301009049;KOMPRESOR KLIME CITROEN C5 2.0 HDI 4HX 09.04 -=32682;440,70;516
10-0905;5902301009056;KOMPRESOR KLIME NISSAN X-TRAIL 2.2 DCI 84KW 07.01 -=32475G;618,76;724
10-0911;5902301009117;KOMPRESOR KLIME OPEL COMBO 12.-=32543;442,15;517
10-0912;5902301009124;KOMPRESOR KLIME HONDA CR-V 2.2I-CDTI  01.07 -=32890G;674,16;789
10-0915;5902301009155;KOMPRESOR KLIME OPEL CORSA 06.-=32588;459,32;537
10-09117;5902301009179;KOMPRESOR KLIME OPEL MOVANO B 10.- DCS-17IC;562,51;658
10-0920;5902301009209;KOMPRESOR KLIME NISSAN NAVARA 2,5DCI 05.-=51-0595;643,86;753
10-0924;5902301009247;KOMPRESOR KLIME BMW X1 E84 09.-=32533;587,13;687
10-0928;5902301009285;KOMPRESOR KLIME FIAT GRANDE PUNTO 05.-=32907G;497,59;582
10-0932;5902301009322;KOMPRESOR KLIME AUDI A4 2.7 TDI  06.07 -=32512;470,69;551
10-0935;5902301009353;KOMPRESOR KLIME AUDI A4 2003.- A6 2,7/3,0TDI 2004.- 6PK=32263;430,00;503
10-0941;5902301009414;KOMPRESOR KLIME AUDI Q7 4.2 V8 TDI 250KW 04.08 -=32889G;524,99;614
10-0953;5902301009537;KOMPRESOR KLIME MERCEDES S-CLASS S430 4-MATIC M113.948 09.02 - 0;450,01;527
10-0957;5902301009575;KOMPRESOR KLIME FORD MONDEO 2007.-=32403;465,93;545
10-0961;5902301009612;KOMPRESOR KLIME TOYOTA AVENSIS 2.0 D-4D 1CD-FTV 01.99 - 12.03=32;468,76;548
10-0962;5902301009629;KOMPRESOR KLIME FOR FOCUS II 04.-=32492;468,13;548
10-0963;5902301009636;KOMPRESOR KLIME BMW 1-SERIE 116I N45B16A 01.08 -=32952;562,51;658
10-0964;5902301009643;KOMPRESOR KLIME FORD RANGER 97.-=32940;549,38;643
10-0965;5902301009650;KOMPRESOR KLIME TOYOTA AURIS 10.-=32736;555,71;650
10-0967;5902301009674;KOMPRESOR KLIME TOYOTA YARIS 1.4 D4D 1ND-TV 01.06 -=32736;544,45;637
10-0972;5902301009728;KOMPRESOR KLIME MAZDA 3 03.-=32681;382,65;448
10-0973;5902301009735;KOMPRESOR KLIME SUZUKI IGNIS 44986 M13A 01.04 -=51-0664;637,49;746
10-0974;5902301009742;KOMPRESOR KLIME TOYOTA COROLLA 1.6 VVT-I 3ZZ-FE 12.01 -=320168;524,99;614
10-0985;5902301009858;KOMPRESOR KLIME SSANG YONG REXTON 2.7 XDI  01.02 -=32483G;487,50;570
10-0986;5902301009865;KOMPRESOR KLIME RENO MASTER 2,0DCI 06.-=32692;631,56;739
10-0991;5902301009919;KOMPRESOR KLIME HYUNDAI ELANTRA III 00.-=32205;441,06;516
10-0992;5902301009926;KOMPRESOR KLIME MITSUBISHI LANCER 95.-=32100;422,52;494
10-0994;5902301009940;KOMPRESOR KLIME NISSAN QASHQAI 06.-=32482;473,95;555
10-0995;5902301009957;KOMPRESOR KLIME NISSAN QASHQAI 1.6I 16V (81KW) HR16DE 01.06 -=32;562,51;658
10-0998;5902301009988;KOMPRESOR KLIME TOYOTA AVENSIS 08.-=32741;508,98;596
10-1001;5902301010014;KOMPRESOR KLIME VOLVO S80/XC60 D5 2008.-=32737;491,48;575
10-1007;5902301010076;KOMPRESOR KLIME TOYOTA AVENSIS 2.0I VVT-I 1AZ-FE 01.00 -=51-0532;524,99;614
10-1012;5902301010120;KOMPRESOR KLIME FORD FOCUS I 99.-=32724;397,52;465
10-1014;5902301010144;KOMPRESOR KLIME SUZUKI GRAND VITARA 2.0 J20A 01.05 -=51-0386;600,00;702
10-1018;5902301010182;KOMPRESOR KLIME FORD TRANSIT CONNECT 02.-=32830;458,23;536
10-1022;5902301010229;KOMPRESOR KLIME VW JETTA   BGP 01.06 -=32970;470,69;551
10-1023;5902301010236;KOMPRESOR KLIME BMW X6 35IX N54 06.07 -=320002;675,02;790
10-1025;5902301010250;KOMPRESOR KLIME LAND ROVER RANGE ROVER III 02.-=32972;528,45;618
10-1033;5902301010335;KOMPRESOR KLIME CITROEN C5 III 08.-=32266;480,09;562
10-1050;5902301010502;KOMPRESOR KLIME BMW 5 E39=32908;487,50;570
10-1062;5902301010625;KOMPRESOR KLIME HYUNDAI I30 07.-12.=32467;529,08;619
10-1064;5902301010649;KOMPRESOR KLIME HYUNDAI GETZ 1.6I 16V G4ED 08.02 -=32446G;450,01;527
10-1070;5902301010700;KOMPRESOR KLIME FORD MONDEO 07.-=32853;528,15;618
10-1071;5902301010717;KOMPRESOR KLIME MAZDA 6 2.0I (MRZ) LF (108KW) 08.07 -=51-0867;637,49;746
10-1079;5902301010793;KOMPRESOR KLIME HONDA STEP WAGON 2.0I K20A 01.01 -=51-0420;618,76;724
10-1094;5902301010946;KOMPRESOR KLIME BMW X5 3.0D M57N2306D3 02.06 -=32696;618,76;724
10-1103;5902301011035;KOMPRESOR KLIME OPEL INSIGNIA A 08.-=32487;466,61;546
10-1109;5902301011097;KOMPRESOR KLIME LAND ROVER DISCOVERY 09.-=32934;645,82;756
10-1120;5902301011202;KOMPRESOR KLIME RENO CLIO IV 12.-=32744;450,01;527
10-1136;5902301011363;KOMPRESOR KLIME VW  T4   90.-=51-0063;412,50;483
10-1160;5902301011608;KOMPRESOR KLIME MERCEDES W211 280/320CDI 8PK=32216;446,80;523
10-1184;5902301011844;KOMPRESOR KLIME RENO ESPACE 3.5 V6  11.02 -=51-0843;524,99;614
10-1187;5902301011875;KOMPRESOR KLIME RENO MEGANE 1,5DCI 2008.-=32596;550,00;644
10-1189;5902301011899;KOMPRESOR KLIME DACIA LOGAN 04.-=32742;389,69;456
10-1190;5902301011905;KOMPRESOR KLIME RENO MEGANE 1.9 DCI  10.08 -=32597;579,31;678
10-1200;5902301012001;KOMPRESOR KLIME TOYOTA PRIUS (VARIOMATIC) 1.5I 16V AND EL 50KW 1;1249,12;1461
10-1202;5902301012025;KOMPRESOR KLIME HONDA CR-V III 06.-=32735;382,19;447
10-1231;5902301012315;KOMPRESOR KLIME TOYOTA HILUX 01.-=32896;577,27;675
10-1250;5902301012506;KOMPRESOR KLIME NISSAN PRIMERA 2.0I 16V QR20DE 05.02 -=32145G;562,51;658
10-1254;5902301012544;KOMPRESOR KLIME VOLVO V50 1.6 D D4164T 01.08 -=320013;431,26;505
10-1257;5902301012575;KOMPRESOR KLIME CITROEN PEŽO 1,6HDI 2014.-=32593;510,01;597
10-1382;5902301013824;KOMPRESOR KLIME VW LUPO 1.2 TDI ANY 07.99 - 07.05=51-0499;796,56;932
10-1395;5902301013954;KOMPRESOR KLIME RENO LAGUNA 07.-=32670;581,91;681
10-1396;5902301013961;KOMPRESOR KLIME SUBARU FORESTER/LEGACY 03.-=51-0520;612,41;717
10-1399;5902301013992;KOMPRESOR KLIME RENO LAGUNA III 07.-15.=32669;537,15;628
10-1400;5902301014005;KOMPRESOR KLIME RENO KOLEOS 2,0DCI M9R382 08.-=32937G;687,93;805
10-1403;5902301014036;KOMPRESOR KLIME CHEVROLET EPICA 05.-=32880G;450,01;527
10-1427;5902301014272;KOMPRESOR KLIME ALFA ROMEO     =51-0341;706,01;826
10-1504;5902301015040;KOMPRESOR KLIME HYUNDAI GETZ 01.-=32958;451,05;528
10-1507;5902301015071;KOMPRESOR KLIME OPEL AGILA 1.2I K12B 10.08 -=51-0985;562,51;658
10-1508;5902301015088;KOMPRESOR KLIME MAZDA 2 07.-=32687;446,35;522
10-1511;5902301015118;KOMPRESOR KLIME HYUNDAI SANTA FE 06.-=32719;487,50;570
10-1517;5902301015170;KOMPRESOR KLIME MAZDA 6 07.-=32688G;568,29;665
10-1525;5902301015255;KOMPRESOR KLIME AUDI A8 3.0 TDI ASB 08.03 -=32611;450,01;527
10-1528;5902301015286;KOMPRESOR KLIME RENO ESPACE 3.0 DCI  06.03 -=51-0452;450,01;527
10-1532;5902301015323;KOMPRESOR KLIME HYUNDAI GETZ 05.-=51-0752;506,27;592
10-1533;5902301015330;KOMPRESOR KLIME KIA SOUL 1.6 CRDI  01.11 -=320117G;618,76;724
10-1541;5902301015415;KOMPRESOR KLIME SMART FORTWO 07.-=320096;464,96;544
10-1568;5902301015682;KOMPRESOR KLIME CITROEN C4 09.-=32240;431,26;505
10-1570;5902301015705;KOMPRESOR KLIME SUZUKI SX4 06.-=38569;612,41;717
10-1574;5902301015743;KOMPRESOR KLIME PEŽO 207/308=32240;429,48;502
10-1579;5902301015798;KOMPRESOR KLIME CITROEN C4 II 09.-=32819;521,90;611
10-1589;5902301015897;KOMPRESOR KLIME BMW 3 E90 335D M57D30 01.06 -=32525;605,96;709
10-1590;5902301015903;KOMPRESOR KLIME JEEP GRAND CHEROKEE 3.7 V6  01.02 -=51-0685;487,50;570
10-1606;5902301016061;KOMPRESOR KLIME HONDA CITY 1.4I  01.=51-0787;587,58;687
10-1628;5902301016283;KOMPRESOR KLIME VOLVO S60 II 10.-=32841;531,89;622
10-1647;5902301016474;KOMPRESOR KLIME TOYOTA PICNIC 2.0I 16V 3S-FE 05.01 - 08.06=51-02;426,11;499
10-1660;5902301016603;KOMPRESOR KLIME JEEP GRAND CHEROKEE 3,0CRD 05.-=51-0904;581,25;680
10-1670;5902301016702;KOMPRESOR KLIME MERCEDES E-CLASS W212  E220 CDI 651924 01.09 -=3;487,50;570
10-1671;5902301016719;KOMPRESOR KLIME VOLVO XC60 I 08.-=32813;627,51;734
10-1678;5902301016788;KOMPRESOR KLIME NISSAN MICRA 1.4I 16V (65KW) CR14DE 01.06 -=3246;562,51;658
10-1679;5902301016795;KOMPRESOR KLIME SUBARU IMPREZA 08.-=320095;659,48;772
10-1726;5902301017266;KOMPRESOR KLIME HYUNDAI IX35 1.7 CRDI D4FD 02.11 -=51-0788;618,76;724
10-1761;5902301017617;KOMPRESOR KLIME HYUNDAI I30 07.-=32719;539,39;631
10-1764;5902301017648;KOMPRESOR KLIME MAZDA 3 45078  11.08 -=32820G;556,77;651
10-1770;5902301017709;KOMPRESOR KLIME IVECO DAILY 2.3 16V HPT F1AE0481V 07.11 -=32924G;543,76;636
10-1807;5902301018072;KOMPRESOR KLIME DACIA LOGAN 12.-=320104;408,48;478
10-1817;5902301018171;KOMPRESOR KLIME OPEL ASTRA 1.7 CDTI A17DTR 01.07 -=32781G;562,51;658
10-1818;5902301018188;KOMPRESOR KLIME SUBARU IMPREZA/FORESTER 08.-=51-0797;659,48;772
10-1819;5902301018195;KOMPRESOR KLIME OPEL ASTRA J 09.- 2,0CDTI=32487;451,05;528
10-1828;5902301018287;KOMPRESOR KLIME VW TRANSPORTER=32809;488,51;572
10-1836;5902301018362;KOMPRESOR KLIME NISSAN X-TRAIL 08.-=51-0586;568,29;665
10-1839;5902301018393;KOMPRESOR KLIME C4 AIRCROSS 1.8 16V HDI 4N13 04.12 - =320097;556,77;651
10-1840;5902301018409;KOMPRESOR KLIME BMW 1-SERIE F20 118D N47T 05.12 -=32838G;544,45;637
10-1863;5902301018638;KOMPRESOR KLIME ALFA ROMEO GIULIETTA 1.6 D MULTI JET 940.A3.000;562,51;658
10-1872;5902301018720;KOMPRESOR KLIME FORD GALAXY 2,0TDCI 06.-=32848G;556,77;651
10-1878;5902301018782;KOMPRESOR KLIME CHEVROLET SPARK 1.0I B10D1 03.10 -=320161G;591,80;692
10-1910;5902301019109;KOMPRESOR KLIME KIA SPORTAGE 1.6 GDI G4FD 02.11 -=32947G;675,02;790
10-1913;5902301019130;KOMPRESOR KLIME RENO LAGUNA 1,9DCI 06.-=32872;393,78;461
10-1953;5902301019536;KOMPRESOR KLIME VOLVO S40/V50 1,6 D2 2010.-=32816;560,29;656
