Kataloški broj;Barcode;Naziv robe;VPC;MPC
37278;8717109248562;PLOČICE PR.CITROEN C5 1,8 16V=GDB1447;63,68;75
37279;8717109248661;PLOČICE PR.MINI COOPER 2001.-=GDB1476;45,90;54
37280;8717109248692;PLOČICE PR.FIAT STILO 1,2/1,6 2001.-=GDB1482;42,19;49
37281;8717109248722;PLOČICE PR.FIAT STILO 2,4 2001.-=GDB1484;43,90;51
37282;8717109248753;PLOČICE PR.FIAT STILO 1,9JTD 2001.-=GDB1483;35,19;41
37285;8717109248890;PLOČICE PR.CITROEN C5 2,2HDI 3,0V6 BREAK 01.-=GDB1449;64,31;75
37286;8717109248876;PLOČICE PR.FIAT DOBLO=GDB1443,GDB1588;43,50;51
37287;8717109252521;PLOČICE PR.RENO TRAFIC OPEL VIVARO 01.-=GDB1478;44,91;53
37288;8717109252552;PLOČICE ZAD.TRAFIC VIVARO 05/14.- GDB1479;38,79;45
37289;8717109252583;PLOČICE ZAD.MOVANO MASTER 97.-=GDB1470;37,49;44
37290;8717109252613;PLOČICE PR.RENO MASTER OPEL MOVANO 98.-=GDB1442;44,77;52
37291;8717109251289;PLOČICE ZAD.FIAT STILO 2001.-=GDB1485;31,68;37
37294;8717109252644;PLOČICE PR.FORD TRANSIT 00.-=GDB1424;62,06;73
37296;8717109252392;PLOČICE ZAD.OPEL ASTRA G ZAFIRA 01.-GDB1515;23,69;28
37300;8717109252798;PLOČICE PR.OPEL SIGNUM 2003.-=GDB1492;60,62;71
37303;8717109253078;PLOČICE PR.LAND ROVER FREELANDER 00.-=GDB1473;41,52;49
37305;8717109253245;PLOČICE ZAD.MINI COOPER 01.-=GDB1477;31,99;37
37306;8717109253320;PLOČICE PR.MERCEDES W211 2002.- TAXI =GDB1542;47,34;55
37307;8717109253504;PLOČICE PR.CITROEN C2/C3 02.-=GDB1495;33,50;39
37308;8717109253528;PLOČICE PR.CITROEN C2/C3 02.-=GDB1496;55,18;65
37319;8717109254051;PLOČICE ZAD.MERCEDES W210 320CDI=GDB1546;47,97;56
37321;8717109254099;PLOČICE ZAD.NISSAN X-TRAIL 01.-03.=GDB3294;34,95;41
37322;8717109253894;PLOČICE ZAD.MERCEDES ML W163 98.-K.=GDB1456;82,15;96
37323;8717109254112;PLOČICE PR.HYUNDAI TERRACAN 2001.-=GDB3299;45,54;53
37327;8717109254150;PLOČICE ZAD.OPEL SPEEDSTER 00.-06.=GDB1494;34,18;40
37329;8717109254211;PLOČICE PR.CITROEN C8 PEŽO 807=GDB1503;62,88;74
37331;8717109254228;PLOČICE PR.FIAT DUCATO 2,8JTD 2001.-K.=GDB1517;42,59;50
37332;8717109254235;PLOČICE PR.CITROEN JUMPER 2,8 2002.-=GDB1518;65,21;76
37333;8717109255171;PLOČICE ZAD.PEŽO BOXER 01.-=GDB1521;58,98;69
37334;8717109254839;PLOČICE ZAD.SEAT IBIZA 2002.-=GDB1475;27,63;32
37336;8717109254952;PLOČICE PR.MERCEDES VANEO 01.-K.=GDB1480;57,28;67
37337;8717109255003;PLOČICE PR.POLO FABIA 01.-=GDB1586;59,98;70
37338;8717109255027;PLOČICE PR.VW POLO 1,9TDI 2001.-=GDB1472;50,75;59
37349;8717109255362;PLOČICE PR.FORD FOCUS 2,0 01.-CONNECT 02.-GDB1532;44,41;52
37351;8717109255638;PLOČICE PR.MAZDA 6 1,8/2,0 2002.-=GDB3309;72,44;85
37352;8717109255645;PLOČICE PR.CHEVROLET KALOS 2002.-=GDB3330;42,65;50
37361;8717109255737;PLOČICE PR.OPEL MERIVA 2003.-GDB1562;46,02;54
37364;8717109256703;PLOČICE PR.KIA SORENTO 2002.-=GDB3343;76,38;89
37365;8717109256727;PLOČICE ZAD.VW TOUAREG 2002.AUDI Q7 =GDB1653;65,64;77
37371;8717109256833;=GDB1502 PLOČICE ZAD.BMW E60/E65/E66 2003.-;59,90;70
37389;8717109257076;PLOČICE PR.OPEL SIGNUM 03.-=GDB1567;73,58;86
37395;8717109257243;PLOČICE PR.RENO CLIO III 05.-NISSAN MICRA 03.-=GDB3332;28,55;33
37397;8717109257175;PLOČICE PR.RENO MEGANE GRAND SCENIC=GDB1597;25,43;30
37398;8717109257205;PLOČICE PR.RENO MEGANE 03.-=GDB1571;53,69;63
37400;8717109257373;PLOČICE PR.TOYOTA AVENSIS 2003.-=GDB3336;53,53;63
37401;8717109257397;PLOČICE ZAD.TOYOTA AVENSIS 03.-=GDB3337;32,21;38
37409;8717109260120;PLOČICE PR.BMW E60 520/525 03.-=GDB1559;62,73;73
37411;8717109260182;PLOČICE ZAD.VW GOLF V PASSAT TOURAN=GDB1551 =GDB1622;35,79;42
37413;8717109260229;"PLOČICE ZAD.VW T5 MULTIVAN 16"" 2003.-=GDB1557";55,71;65
37414;8717109260243;PLOČICE PR.AUDI A1/A3 VW PASSAT/TOURAN 10.-GDB1550/GDB1807;36,16;42
37416;8717109260359;PLOČICE PR.VW T5 MULTIVAN 16COL 2003.-=GDB1555;74,98;88
37418;8717109261219;PLOČICE PR.FIAT IDEA 1,9JTD=GDB1591;59,57;70
37422;8717109261301;PLOČICE PR.FORD FOCUS C-MAX 2003.-GDB1583;37,04;43
37425;8717109304299;PLOČICE PR.AUDI A6 ALLROAD QUATTRO 03/03.- K.=GDB1528;85,41;100
37428;8717109309744;PLOČICE PR.AUDI S4 A6 QUATTRO 2003.-K.=GDB1554;49,40;58
37429;8717109331738;PLOČICE PR.PEŽO 307 CITROEN C4 2,0HDI=GDB1605;64,81;76
37430;8717109331752;PLOČICE PR.PEŽO 407 04.-K.=GDB1594;74,36;87
37431;8717109331776;PLOČICE PR.PEŽO 407 05.-/607 00.-;79,64;93
37432;8717109331790;PLOČICE PR.HYUNDAI ATOS PRIME 1,0 99.-=GDB3377;51,39;60
37437;8717109348064;PLOČICE ZAD.BMW E87 2,0 04.-=GDB1626;41,83;49
37442;8717109350197;PLOČICE PR.KIA CARENS=GDB3342;43,01;50
37448;8717109350111;PLOČICE PR.VW PHAETON 3,2 V6 02.-=GDB1505;99,46;116
37450;8717109350074;PLOČICE ZAD.MERCEDES VITO/VIANO 2003.- K.=GDB1601;58,00;68
37453;8717109351743;PLOČICE PR.SHARAN GALAXY ALHAMBRA 00.-=GDB1538;81,50;95
37456;8717109351682;PLOČICE PR.MERCEDES W169 A170 04.- =GDB1630;57,05;67
37457;8717109351668;PLOČICE PR.MERCEDES W169/W245 A/B KLASA 200CDI=GDB1628;56,10;66
37462;8717109354782;PLOČICE PR.NISSAN CABSTAR=GDB3354;49,00;57
37466;8717109357950;PLOČICE ZAD.PEŽO 407 04.-=GDB1596;28,63;33
37467;8717109358124;PLOČICE ZAD.JAGUAR S-TYPE 2002.-;43,85;51
37469;8717109357936;PLOČICE PR.CHRYSLER VOYAGER 00.-=GDB4128;72,18;84
37475;8717109360097;PLOČICE ZAD.PEŽO 207 06.-=GDB1678;31,35;37
37476;8717109367621;PLOČICE PR.CITROEN C4 04.-=GDB1623;75,68;89
37477;8717109367690;PLOČICE ZAD.FOCUS II,CONNECT 02.-=GDB1621/GDB1469/GDB2033;21,31;25
37483;8717109368895;PLOČICE PR.TOYOTA AYGO 05.-=GDB1633;39,93;47
37504;8717109372946;PLOČICE PR.NISSAN MURANO 05.-;48,25;56
37522;8717109378870;PLOČICE PR.HYUNDAI SANTA FE=GDB3418;70,65;83
37533;8717109439397;PLOČICE ZAD.KIA RIO II HYUNDAI ACCENT 05.-=GDB3421;30,92;36
37552;8717109548198;=GDB1696 PLOČICE PR.SPRINTER VW CRAFTER 5T. 2006.-;53,58;63
37553;8717109548167;PLOČICE PR.SPRINTER VITO VW CRAFTER 2006.-=GDB1698;35,68;42
37555;8717109548105;PLOČICE ZAD.SPRINTER VW CRAFTER 2006.- K.=GDB1697=GDB1697;61,10;71
37558;8717109547368;PLOČICE PR.FORD TRANSIT 2,2/2,4TDCI 06.-GDB1724;55,74;65
37559;8717109547344;PLOČICE PR.FORD TRANSIT 2,2TDCI 06.-=GDB1723;77,11;90
37560;8717109547320;PLOČICE PR.FORD TRANSIT 2,4TDCI 06.-GDB1725;54,35;64
37561;8717109547252;PLOČICE ZAD.FORD MONDEO GALAXY KUGA 07.-=GDB1708=GDB1732;37,89;44
37563;8717109547573;PLOČICE PR.OPEL CORSA D 2006.-=GDB1700;47,72;56
37565;8717109547085;PLOČICE PR.MERCEDES W211 320CDI/350 05.-=GDB1667;54,43;64
37567;8717109546989;PLOČICE PR.KIA SORENTO 02.-;49,52;58
37568;8717109547603;PLOČICE PR.FORD MONDEO IV 07.- S-MAX=GDB1960=GDB1683;42,45;50
37575;8717109544466;PLOČICE ZAD.VW TOUAREG AUDI Q7;47,91;56
37576;8717109544640;PLOČICE PR.DUCATO JUMPER BOXER 06.-=GDB1703;83,02;97
37577;8717109544428;PLOČICE PR.FIAT DUCATO/JUMPER 06.-=GDB1681;46,02;54
37578;8717109544404;PLOČICE ZAD.PEŽO BOXER CITROEN JUMPER 06.-=GDB1682;44,77;52
37584;8717109545203;PLOČICE PR.MERCEDES W204/W212/C207/W212=GDB1736;48,96;57
37598;8717109554533;PLOČICE PR.CITROEN C4 GRAND PICASSO 1,6/1,8 07.-=GDB1690;68,90;81
37606;8717109546293;PLOČICE PR.FORD FIESTA VI 2008.-=GDB3437;34,18;40
37619;8717109543766;PLOČICE =GDB3449;48,31;57
37624;8717109577372;PLOČICE PR.MITSUBISHI L200 2006.-=GDB3435;62,77;73
37631;8717109542615;PLOČICE ZAD.BMW X5 E70 07.-=GDB1730;45,01;53
37637;8717109542103;PLOČICE PR.BMW X5/X6 E70/E71 2007.-GDB1726;72,74;85
37639;8717109575521;PLOČICE PR.HUMMER H3 05.-;111,20;130
37640;8717109575538;PLOČICE ZAD.HUMMER H3 05.-;81,33;95
37700;8717109494501;PLOČICE ZAD.CITROEN BERLINGO 08.-PEŽO PARTNER=GDB1799;31,65;37
37731;8717109581201;PLOČICE ZAD.BMW 5 F10/F11 X3 F25 2010.-=GDB1840;59,06;69
37739;8717109582055;PLOČICE ZAD.VW TIGUAN 2007.-GDB1763;44,78;52
37760;8717109501667;PLOČICE PR.MEGANE III FLUENCE SCENIC DUSTER=GDB1789=GDB1789;56,00;66
