LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
3765;50;*Bez*;*Bez*;08091;4011558906009;WK830/7;FILTER GORIVA ;;;;;KOM;1,00;14,58;23,51;27,51;;0,00;;D
3771;50;*Bez*;*Bez*;08099;4011558907914;WK31/4;FILTER GORIVA ;;;;;KOM;1,00;3,00;3,93;4,60;;0,00;;D
3777;50;*Bez*;*Bez*;08106;4011558904807;WK516;FILTER GORIVA ;;;;;KOM;1,00;31,00;34,50;40,37;;0,00;;D
3780;50;*Bez*;*Bez*;08109;4011558916206;WK730/1;FILTER GORIVA ;;;;;KOM;1,00;11,30;18,00;21,06;;0,00;;D
3783;50;*Bez*;*Bez*;08112;4011558901004;WK731;FILTER GORIVA ;;;;;KOM;1,00;7,80;12,58;14,72;;0,00;;D
3789;50;*Bez*;*Bez*;08123;4011558906504;WK815;FILTER GORIVA ;;;;;KOM;1,00;15,50;21,00;24,57;;0,00;;D
3796;50;*Bez*;*Bez*;08134;4011558915100;WK845/4;FILTER GORIVA ;;;;;KOM;1,00;27,83;44,88;52,51;;0,00;;D
3803;50;*Bez*;*Bez*;09128;103478756;103478756;GLAVČINA LEŽAJA GOLF 3 ;;;;;KOM;1,00;15,43;21,37;25,00;;0,00;;D
3824;50;*Bez*;*Bez*;09574;102721DE6;102721;GUMIŠTUCNA GOLF II D ;;;;;KOM;1,00;7,00;10,00;11,70;;0,00;;D
3829;50;*Bez*;*Bez*;09581;A2035281782;A2035281782;GUMIŠTUCNA MERC W203 ;;;;;KOM;1,00;91,00;100,10;117,12;;0,00;;D
3833;50;*Bez*;*Bez*;09592;23499/A;23499/A;GUMIŠTUCNA VOD PUMPE GOLF TD/PASSAT ;;;;;KOM;2,00;7,00;8,40;9,83;;0,00;;D
